date,city,weather_desc,temp_min_c,temp_max_c,humidity_pct,wind_kph,precip_mm,precip_prob,alerts,events
2020-08-01,,,,,,,,,,"[{'start_time_local': '00:42', 'event_type': 'local_news', 'title': 'Public Art Unveiled', 'description': 'Art initiative.', 'channel_focus': 'all', 'tags': 'community|city'}, {'start_time_local': '21:59', 'event_type': 'traffic_disruption', 'title': 'Transit Schedule Adjustment', 'description': 'Routine maintenance.', 'channel_focus': 'all', 'tags': 'traffic|transport'}]"
2020-08-06,,,,,,,,,,"[{'start_time_local': '', 'event_type': 'politics', 'title': 'Municipal Council Budget Review', 'description': 'Administrative matters.', 'channel_focus': 'all', 'tags': 'politics|civics'}]"
2020-08-10,,,,,,,,,,"[{'start_time_local': '', 'event_type': 'traffic_disruption', 'title': 'Overnight Road Maintenance', 'description': 'Service timetable update.', 'channel_focus': 'pickup', 'tags': 'traffic|transport'}]"
2020-08-28,"Constantine, DZ",cloudy,7.5,13.6,93.0,6.0,0.0,0.0,,"[{'start_time_local': '02:30', 'event_type': 'economy', 'title': 'Business Chamber Roundtable', 'description': 'Minor price signal.', 'channel_focus': 'all', 'tags': 'economy|business'}, {'start_time_local': '20:00', 'event_type': 'football_match', 'title': 'League Match — Kreigerburgh vs Port Isabelleside', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-08-29,"Constantine, DZ",sunny,11.3,18.4,68.0,6.0,0.0,0.122,,[]
2020-08-30,"Constantine, DZ",sunny,26.9,37.6,51.0,21.0,0.0,0.059,,[]
2020-08-31,"Constantine, DZ",sunny,10.3,19.8,81.0,25.0,0.0,0.149,,[]
2020-09-01,"Constantine, DZ",light_rain,12.0,19.4,75.0,12.0,4.4,0.219,,"[{'start_time_local': '', 'event_type': 'tech_news', 'title': 'University AI Seminar', 'description': 'Academic talk.', 'channel_focus': 'all', 'tags': 'tech|events'}, {'start_time_local': '20:00', 'event_type': 'football_match', 'title': 'League Match — Springfield vs Hauckmouth', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-09-02,"Constantine, DZ",light_rain,10.9,20.4,58.0,15.0,14.1,0.072,,[]
2020-09-03,"Constantine, DZ",sunny,14.8,23.8,72.0,25.0,0.0,0.183,,[]
